time,H_Am,M_Am,B_T
0.993938,-3.80766,-267142,-0.335706
0.996191,-2.39322,-229101,-0.2879
0.99808,-1.20665,-192851,-0.242345
0.999968,-0.0199143,-152661,-0.191839
1.00186,1.16683,-108915,-0.136865
1.00375,2.3534,-62422.8,-0.0784398
1.00563,3.53965,-14392.5,-0.0180817
1.00752,4.72539,33726.8,0.0423883
1.00919,5.76842,75006.5,0.0942632
1.01097,6.88678,117206,0.147295
1.01275,8.00428,156553,0.196741
1.01454,9.12078,192658,0.242113
1.01632,10.2361,225401,0.28326
1.0181,11.3502,254858,0.320279
1.02,12.5311,282748,0.355327
1.02198,13.7649,308541,0.387741
1.02406,15.0592,332323,0.417629
1.02625,16.4197,354164,0.445076
1.02856,17.8517,374142,0.470183
1.03101,19.3597,392352,0.493068
1.03359,20.9481,408897,0.513861
1.03632,22.621,423891,0.532706
1.0392,24.3819,437455,0.549752
1.04225,26.2345,449710,0.565156
1.04547,28.1823,460780,0.579069
1.04887,30.2283,470782,0.59164
1.05247,32.3754,479827,0.603009
1.05627,34.6262,488018,0.613305
1.06029,36.9827,495448,0.622645
1.06453,39.4463,502202,0.631136
1.06902,42.0178,508353,0.638869
1.07375,44.6972,513967,0.645926
1.07875,47.4834,519098,0.652377
1.08402,50.3747,523797,0.658286
1.0896,53.3684,528106,0.663705
1.09549,56.4607,532063,0.668681
1.10172,59.6469,535700,0.673256
1.10831,62.9211,539047,0.677465
1.11531,66.276,542127,0.68134
1.12275,69.7027,544963,0.684909
1.13068,73.1899,547575,0.688195
1.13918,76.7236,549977,0.691218
1.14834,80.2858,552183,0.693995
1.15829,83.8524,554204,0.696538
1.16921,87.3908,556045,0.698857
1.1814,90.8543,557709,0.700951
1.19539,94.1713,559187,0.702813
1.21238,97.2192,560456,0.704412
1.23834,99.7318,561445,0.705657
1.2643,99.5965,561685,0.70596
1.29026,96.8171,561984,0.706331
1.30054,95,561808,0.706108
1.31303,92.2597,561209,0.705352
1.32512,89.066,560198,0.704078
1.33794,85.1187,558663,0.702144
1.34806,81.6127,557110,0.700188
1.35905,77.4309,555054,0.697598
1.36803,73.7399,553050,0.695076
1.37758,69.5537,550541,0.691917
1.38553,65.8826,548104,0.688851
1.39389,61.8399,545123,0.685099
1.40103,58.2543,542173,0.681388
1.40844,54.4103,538631,0.676933
1.41488,50.9669,535064,0.672445
1.42133,47.4399,530945,0.667264
1.42778,43.835,526146,0.66123
1.43317,40.7646,521489,0.655373
1.43881,37.5067,515842,0.648274
1.44379,34.5855,510022,0.640956
1.44878,31.6304,503227,0.632414
1.45376,28.6443,495196,0.622318
1.45784,26.1792,487452,0.612583
1.46214,23.5659,477840,0.600501
1.46589,21.2666,467866,0.587965
1.46965,18.9553,456006,0.573058
1.4734,16.6336,441699,0.555076
1.47643,14.7573,427882,0.537711
1.47962,12.7677,410399,0.515738
1.4824,11.0353,392174,0.492835
1.48518,9.29968,370379,0.465443
1.48795,7.56119,344119,0.432442
1.49021,6.14808,318782,0.400601
1.49258,4.66316,287557,0.361361
1.49468,3.34442,255288,0.320808
1.49678,2.02509,218283,0.274305
1.49888,0.705404,176343,0.2216
1.50069,-0.433366,136338,0.171327
1.5025,-1.57208,93293.1,0.117234
1.50431,-2.71059,48060.5,0.0603912
1.50613,-3.84875,1799.11,0.00225599
1.50794,-4.98641,-44188.2,-0.0555348
1.5095,-5.9664,-82655.4,-0.103875
1.51124,-7.05918,-123474,-0.155171
1.51299,-8.15112,-161490,-0.202944
1.51473,-9.24208,-196380,-0.24679
1.51647,-10.3319,-228060,-0.286602
1.5183,-11.4706,-257855,-0.324045
1.5202,-12.6559,-285506,-0.358794
1.52219,-13.8957,-311089,-0.390944
1.52428,-15.1965,-334668,-0.420575
1.52648,-16.5642,-356312,-0.447776
1.52881,-18.0038,-376103,-0.472648
1.53127,-19.52,-394136,-0.49531
1.53386,-21.117,-410515,-0.515895
1.53661,-22.7987,-425356,-0.534547
1.53951,-24.5689,-438779,-0.551417
1.54257,-26.4313,-450907,-0.566659
1.54581,-28.389,-461861,-0.580427
1.54924,-30.4453,-471758,-0.592867
1.55286,-32.603,-480710,-0.60412
1.55668,-34.8647,-488819,-0.614312
1.56072,-37.2322,-496176,-0.62356
1.56499,-39.7069,-502864,-0.631968
1.56949,-42.2896,-508957,-0.639628
1.57425,-44.98,-514518,-0.646619
1.57928,-47.7772,-519603,-0.653012
1.58458,-50.6793,-524259,-0.658867
1.59019,-53.6833,-528531,-0.664239
1.59611,-56.7856,-532453,-0.669172
1.60238,-59.9812,-536059,-0.673707
1.60901,-63.264,-539377,-0.67788
1.61605,-66.6268,-542431,-0.681723
1.62354,-70.0603,-545243,-0.685261
1.63153,-73.553,-547832,-0.688519
1.6401,-77.0906,-550214,-0.691516
1.64933,-80.6544,-552400,-0.694268
1.65937,-84.2199,-554402,-0.696788
1.67041,-87.753,-556225,-0.699084
1.68275,-91.2053,-557870,-0.701155
1.69698,-94.5014,-559328,-0.702991
1.71441,-97.5106,-560574,-0.70456
1.73745,-99.689,-561428,-0.705637
1.76221,-99.7058,-561659,-0.705926
1.78059,-98.1583,-561949,-0.706289
1.79271,-96.4205,-561967,-0.70631
1.80453,-94.1867,-561666,-0.705928
1.81682,-91.3158,-560939,-0.705011
1.82881,-87.9895,-559806,-0.703583
1.84126,-84.0076,-558189,-0.701546
1.85126,-80.4351,-556553,-0.699487
1.86202,-76.2379,-554426,-0.696808
1.87082,-72.5437,-552360,-0.694207
1.88018,-68.373,-549783,-0.690963
1.88799,-64.7109,-547274,-0.687807
1.89619,-60.6959,-544215,-0.683957
1.90322,-57.1284,-541179,-0.680138
1.9105,-53.317,-537542,-0.675563
1.91685,-49.8993,-533870,-0.670944
1.9232,-46.4021,-529629,-0.66561
1.92955,-42.8311,-524686,-0.659394
1.93486,-39.7957,-519892,-0.653365
1.94041,-36.5757,-514073,-0.646049
1.94531,-33.6907,-508070,-0.638502
1.95021,-30.7738,-501056,-0.629684
1.95512,-27.8276,-492755,-0.619249
1.95913,-25.3999,-484752,-0.60919
1.96335,-22.8259,-474802,-0.596683
1.96704,-20.5639,-464476,-0.583704
1.97072,-18.2908,-452184,-0.568255
1.97441,-16.0079,-437343,-0.549601
1.97738,-14.1638,-423003,-0.531579
1.98052,-12.2088,-404858,-0.508775
1.98325,-10.5063,-385943,-0.485003
1.98598,-8.80071,-363338,-0.456596
1.9887,-7.09256,-336148,-0.422426
1.99092,-5.70236,-309938,-0.389487
1.99325,-4.24285,-277761,-0.349051
1.99532,-2.9429,-244541,-0.307303
1.99739,-1.64245,-206630,-0.259661
1.99946,-0.341732,-163934,-0.206006
2,-4.89859e-14,-151955,-0.190952
